oD code,Organisation,Year,Region,Spending,Notes
28,World Youth Alliance,2019,Asia,"$68,513",
1,Acton Institute for the Study of Religion and Liberty,2019,Eurasia/Russia,$0,
2,Alliance Defending Freedom,2019,Eurasia/Russia,"$7,070",
3,American Center for Law and Justice,2019,Eurasia/Russia,$0,
4,"American Society for the Defense of Tradition, Family, Property",2019,Eurasia/Russia,$0,
5,Bethany Christian Services,2019,Eurasia/Russia,$0,
6,Billy Graham Evangelistic Association,2019,Eurasia/Russia,,No 990
7,Capitol Ministries,2019,Eurasia/Russia,"$10,925",
8,Cato Institute,2019,Eurasia/Russia,$0,
9,Exodus Cry,2019,Eurasia/Russia,,No Schedule F
10,Family Research Council,2019,Eurasia/Russia,,No Schedule F
11,Family Watch International,2019,Eurasia/Russia,$0,
12,Federalist Society,2019,Eurasia/Russia,$0,
13,Fellowship Foundation,2019,Eurasia/Russia,"$17,184",
14,Focus on the Family,2019,Eurasia/Russia,$0,
15,Heartbeat International,2019,Eurasia/Russia,,No 990
16,Home School Legal Defense Association,2019,Eurasia/Russia,,No 990
17,Human Life International,2019,Eurasia/Russia,"$9,450",
18,International House of Prayer,2019,Eurasia/Russia,,No 990
19,International Human Rights Group,2019,Eurasia/Russia,,No 990
20,InterVarsity Christian Fellowship,2019,Eurasia/Russia,,No 990
21,Leadership Institute,2019,Eurasia/Russia,$0,
22,Liberty Counsel,2019,Eurasia/Russia,,No 990
23,LifeSiteNews,2019,Eurasia/Russia,$0,
24,Population Research Institute,2019,Eurasia/Russia,,No 990
25,Religious Freedom Institute,2019,Eurasia/Russia,$0,
26,Summit Ministries,2019,Eurasia/Russia,,No Schedule F
27,The Heritage Foundation,2019,Eurasia/Russia,"$18,130",
28,World Youth Alliance,2019,Eurasia/Russia,$0,
1,Acton Institute for the Study of Religion and Liberty,2019,Europe,"$359,132",
2,Alliance Defending Freedom,2019,Europe,"$4,298,091",
3,American Center for Law and Justice,2019,Europe,"$1,364,055",
4,"American Society for the Defense of Tradition, Family, Property",2019,Europe,"$24,930",
5,Bethany Christian Services,2019,Europe,"$35,810",
6,Billy Graham Evangelistic Association,2019,Europe,,No 990
7,Capitol Ministries,2019,Europe,"$8,880",
8,Cato Institute,2019,Europe,"$156,025",
9,Exodus Cry,2019,Europe,,No Schedule F
10,Family Research Council,2019,Europe,,No Schedule F
11,Family Watch International,2019,Europe,"$18,567",
12,Federalist Society,2019,Europe,"$554,648",
13,Fellowship Foundation ,2019,Europe,"$21,000",
14,Focus on the Family,2019,Europe,$0,
15,Heartbeat International,2019,Europe,,No 990
16,Home School Legal Defense Association,2019,Europe,,No 990
17,Human Life International,2019,Europe,"$73,347",
18,International House of Prayer,2019,Europe,,No 990
19,International Human Rights Group,2019,Europe,,No 990
20,InterVarsity Christian Fellowship,2019,Europe,,No 990
21,Leadership Institute,2019,Europe,"$118,365",
22,Liberty Counsel,2019,Europe,,No 990
23,LifeSiteNews,2019,Europe,$0,
24,Population Research Institute,2019,Europe,,No 990
25,Religious Freedom Institute,2019,Europe,"$5,000",
26,Summit Ministries,2019,Europe,,No Schedule F
27,The Heritage Foundation,2019,Europe,"$237,823",
28,World Youth Alliance,2019,Europe,"$114,169",
1,Acton Institute for the Study of Religion and Liberty,2019,Latin America,"$267,500",
2,Alliance Defending Freedom,2019,Latin America,"$90,227",
3,American Center for Law and Justice,2019,Latin America,$0,
4,"American Society for the Defense of Tradition, Family, Property",2019,Latin America,"$258,582",
5,Bethany Christian Services,2019,Latin America,"$280,136",
6,Billy Graham Evangelistic Association,2019,Latin America,,No 990
7,Capitol Ministries,2019,Latin America,"$122,283",
8,Cato Institute,2019,Latin America,"$56,445",
9,Exodus Cry,2019,Latin America,,No Schedule F
10,Family Research Council,2019,Latin America,,No Schedule F
11,Family Watch International,2019,Latin America,"$1,791",
12,Federalist Society,2019,Latin America,"$363,418",
13,Fellowship Foundation,2019,Latin America,"$173,750",
14,Focus on the Family,2019,Latin America,"$365,685",
15,Heartbeat International,2019,Latin America,,No 990
16,Home School Legal Defense Association,2019,Latin America,,No 990
17,Human Life International,2019,Latin America,"$84,342",
18,International House of Prayer,2019,Latin America,,No 990
19,International Human Rights Group,2019,Latin America,,No 990
20,InterVarsity Christian Fellowship,2019,Latin America,,No 990
21,Leadership Institute,2019,Latin America,"$14,369",
22,Liberty Counsel,2019,Latin America,,No 990
23,LifeSiteNews,2019,Latin America,$0,
24,Population Research Institute,2019,Latin America,,No 990
25,Religious Freedom Institute,2019,Latin America,$0,
26,Summit Ministries,2019,Latin America,,No Schedule F
27,The Heritage Foundation,2019,Latin America,"$21,402",
28,World Youth Alliance,2019,Latin America,"$6,496",
1,Acton Institute for the Study of Religion and Liberty,2019,Middle East & North Africa,$0,
2,Alliance Defending Freedom,2019,Middle East & North Africa,"$14,404",
3,American Center for Law and Justice,2019,Middle East & North Africa,$0,
4,"American Society for the Defense of Tradition, Family, Property",2019,Middle East & North Africa,$0,
5,Bethany Christian Services,2019,Middle East & North Africa,$0,
6,Billy Graham Evangelistic Association,2019,Middle East & North Africa,,No 990
7,Capitol Ministries,2019,Middle East & North Africa,$0,
8,Cato Institute,2019,Middle East & North Africa,$500,
9,Exodus Cry,2019,Middle East & North Africa,,No Schedule F
10,Family Research Council,2019,Middle East & North Africa,,No Schedule F
11,Family Watch International,2019,Middle East & North Africa,$0,
12,Federalist Society,2019,Middle East & North Africa,$0,
13,Fellowship Foundation,2019,Middle East & North Africa,"$35,340",
14,Focus on the Family,2019,Middle East & North Africa,"$173,272",
15,Heartbeat International,2019,Middle East & North Africa,,No 990
16,Home School Legal Defense Association,2019,Middle East & North Africa,,No 990
17,Human Life International,2019,Middle East & North Africa,$0,
18,International House of Prayer,2019,Middle East & North Africa,,No 990
19,International Human Rights Group,2019,Middle East & North Africa,,No 990
20,InterVarsity Christian Fellowship,2019,Middle East & North Africa,,No 990
21,Leadership Institute,2019,Middle East & North Africa,"$149,853",
22,Liberty Counsel,2019,Middle East & North Africa,,No 990
23,LifeSiteNews,2019,Middle East & North Africa,$0,
24,Population Research Institute,2019,Middle East & North Africa,,No 990
25,Religious Freedom Institute,2019,Middle East & North Africa,"$9,100",
26,Summit Ministries,2019,Middle East & North Africa,,No Schedule F
27,The Heritage Foundation,2019,Middle East & North Africa,"$15,193",
28,World Youth Alliance,2019,Middle East & North Africa,"$22,293",
1,Acton Institute for the Study of Religion and Liberty,2019,North America (outside the US),$0,
2,Alliance Defending Freedom,2019,North America (outside the US),"$101,727",
3,American Center for Law and Justice,2019,North America (outside the US),$0,
4,"American Society for the Defense of Tradition, Family, Property",2019,North America (outside the US),$958,
5,Bethany Christian Services,2019,North America (outside the US),$0,
6,Billy Graham Evangelistic Association,2019,North America (outside the US),,No 990
7,Capitol Ministries,2019,North America (outside the US),$0,
8,Cato Institute,2019,North America (outside the US),"$4,300",
9,Exodus Cry,2019,North America (outside the US),,No Schedule F
10,Family Research Council,2019,North America (outside the US),,No Schedule F
11,Family Watch International,2019,North America (outside the US),"$1,687",
12,Federalist Society,2019,North America (outside the US),"$31,150",
13,Fellowship Foundation,2019,North America (outside the US),"$16,532",
14,Focus on the Family,2019,North America (outside the US),$0,
15,Heartbeat International,2019,North America (outside the US),,No 990
16,Home School Legal Defense Association,2019,North America (outside the US),,No 990
17,Human Life International,2019,North America (outside the US),$0,
18,International House of Prayer,2019,North America (outside the US),,No 990
19,International Human Rights Group,2019,North America (outside the US),,No 990
20,InterVarsity Christian Fellowship,2019,North America (outside the US),,No 990
21,Leadership Institute,2019,North America (outside the US),"$9,818",
22,Liberty Counsel,2019,North America (outside the US),,No 990
23,LifeSiteNews,2019,North America (outside the US),$0,
24,Population Research Institute,2019,North America (outside the US),,No 990
25,Religious Freedom Institute,2019,North America (outside the US),"$74,208",
26,Summit Ministries,2019,North America (outside the US),,No Schedule F
27,The Heritage Foundation,2019,North America (outside the US),"$7,202",
28,World Youth Alliance,2019,North America (outside the US),$0,
1,Acton Institute for the Study of Religion and Liberty,2018,Africa,"$76,020",
2,Alliance Defending Freedom,2018,Africa,"$25,000",
3,American Center for Law and Justice,2018,Africa,$0,
4,"American Society for the Defense of Tradition, Family, Property",2018,Africa,$0,
5,Bethany Christian Services,2018,Africa,,No Schedule F
6,Billy Graham Evangelistic Association,2018,Africa,,No 990
7,Capitol Ministries,2018,Africa,"$51,367",
8,Cato Institute,2018,Africa,$0,
9,Exodus Cry,2018,Africa,,No Schedule F
10,Family Research Council,2018,Africa,,No 990
11,Family Watch International,2018,Africa,"$2,711",
12,Federalist Society,2018,Africa,,No 990
13,Fellowship Foundation,2018,Africa,"$5,412,901",
14,Focus on the Family,2018,Africa,"$1,272",
15,Heartbeat International,2018,Africa,,No 990
16,Home School Legal Defense Association,2018,Africa,,No 990
17,Human Life International,2018,Africa,"$239,236",
18,International House of Prayer,2018,Africa,,No 990
19,International Human Rights Group,2018,Africa,$0,
20,InterVarsity Christian Fellowship,2018,Africa,,No 990
21,Leadership Institute,2018,Africa,$0,
22,Liberty Counsel,2018,Africa,,No Schedule F
23,LifeSiteNews,2018,Africa,$0,
24,Population Research Institute,2018,Africa,,No 990
25,Religious Freedom Institute,2018,Africa,$0,
26,Summit Ministries,2018,Africa,,No 990
27,The Heritage Foundation,2018,Africa,"$2,142",
28,World Youth Alliance,2018,Africa,"$94,996",
1,Acton Institute for the Study of Religion and Liberty,2018,Asia,"$61,440",
2,Alliance Defending Freedom,2018,Asia,365233,
3,American Center for Law and Justice,2018,Asia,$0,
4,"American Society for the Defense of Tradition, Family, Property",2018,Asia,$0,
5,Bethany Christian Services,2018,Asia,,No schedule F
6,Billy Graham Evangelistic Association,2018,Asia,,No 990
7,Capitol Ministries,2018,Asia,$582,
8,Cato Institute,2018,Asia,"$4,225",
9,Exodus Cry,2018,Asia,,No Schedule F
10,Family Research Council,2018,Asia,,No 990
11,Family Watch International,2018,Asia,$0,
12,Federalist Society,2018,Asia,,No 990
13,Fellowship Foundation,2018,Asia,"$384,940",
14,Focus on the Family,2018,Asia,"$208,302",
15,Heartbeat International,2018,Asia,"$107,554",
16,Home School Legal Defense Association,2018,Asia,,No 990
17,Human Life International,2018,Asia,,No 990
18,International House of Prayer,2018,Asia,,No 990
19,International Human Rights Group,2018,Asia,$0,
20,InterVarsity Christian Fellowship,2018,Asia,,No 990
21,Leadership Institute,2018,Asia,"$3,337",
22,Liberty Counsel,2018,Asia,,No Schedule F
23,LifeSiteNews,2018,Asia,$0,
24,Population Research Institute,2018,Asia,,No 990
25,Religious Freedom Institute,2018,Asia,"$185,271",
26,Summit Ministries,2018,Asia,,No 990
27,The Heritage Foundation,2018,Asia,225366,
28,World Youth Alliance,2018,Asia,"$52,786",
1,Acton Institute for the Study of Religion and Liberty,2018,Eurasia/Russia,$0,
2,Alliance Defending Freedom,2018,Eurasia/Russia,$0,
3,American Center for Law and Justice,2018,Eurasia/Russia,"$182,000",
4,"American Society for the Defense of Tradition, Family, Property",2018,Eurasia/Russia,$0,
5,Bethany Christian Services,2018,Eurasia/Russia,,No Schedule F
6,Billy Graham Evangelistic Association,2018,Eurasia/Russia,,No 990
7,Capitol Ministries,2018,Eurasia/Russia,"$3,261",
8,Cato Institute,2018,Eurasia/Russia,$0,
9,Exodus Cry,2018,Eurasia/Russia,,No Schedule F
10,Family Research Council,2018,Eurasia/Russia,,No 990
11,Family Watch International,2018,Eurasia/Russia,$0,
12,Federalist Society,2018,Eurasia/Russia,,No 990
13,Fellowship Foundation,2018,Eurasia/Russia,"$14,300",
14,Focus on the Family,2018,Eurasia/Russia,$0,
15,Heartbeat International,2018,Eurasia/Russia,,No 990
16,Home School Legal Defense Association,2018,Eurasia/Russia,,No 990
17,Human Life International,2018,Eurasia/Russia,"$9,450",
18,International House of Prayer,2018,Eurasia/Russia,,No 990
19,International Human Rights Group,2018,Eurasia/Russia,$0,
20,InterVarsity Christian Fellowship,2018,Eurasia/Russia,,No 990
21,Leadership Institute,2018,Eurasia/Russia,$0,
22,Liberty Counsel,2018,Eurasia/Russia,,No Schedule F
23,LifeSiteNews,2018,Eurasia/Russia,$0,
24,Population Research Institute,2018,Eurasia/Russia,,No 990
25,Religious Freedom Institute,2018,Eurasia/Russia,$0,
26,Summit Ministries,2018,Eurasia/Russia,,No 990
27,The Heritage Foundation,2018,Eurasia/Russia,"$15,737",
28,World Youth Alliance,2018,Eurasia/Russia,$0,
1,Acton Institute for the Study of Religion and Liberty,2018,Europe,"$379,617",
2,Alliance Defending Freedom,2018,Europe,"$2,581,397",
3,American Center for Law and Justice,2018,Europe,"$1,161,493",
4,"American Society for the Defense of Tradition, Family, Property",2018,Europe,"$25,544",
5,Bethany Christian Services,2018,Europe,,No Schedule F
6,Billy Graham Evangelistic Association,2018,Europe,,No 990
7,Capitol Ministries,2018,Europe,"$13,130",
8,Cato Institute,2018,Europe,"$214,656",
9,Exodus Cry,2018,Europe,,No Schedule F
10,Family Research Council,2018,Europe,,No 990
11,Family Watch International,2018,Europe,"$15,313",
12,Federalist Society,2018,Europe,,No 990
13,Fellowship Foundation ,2018,Europe,"$30,500",
14,Focus on the Family,2018,Europe,$0,
15,Heartbeat International,2018,Europe,,No 990
16,Home School Legal Defense Association,2018,Europe,,No 990
17,Human Life International,2018,Europe,"$125,679",
18,International House of Prayer,2018,Europe,,No 990
19,International Human Rights Group,2018,Europe,"$308,400",
20,InterVarsity Christian Fellowship,2018,Europe,,No 990
21,Leadership Institute,2018,Europe,"$124,784",
22,Liberty Counsel,2018,Europe,,No Schedule F
23,LifeSiteNews,2018,Europe,$0,
24,Population Research Institute,2018,Europe,,No 990
25,Religious Freedom Institute,2018,Europe,"$8,000",
26,Summit Ministries,2018,Europe,,No 990
27,The Heritage Foundation,2018,Europe,"$149,257",
28,World Youth Alliance,2018,Europe,"$161,252",
1,Acton Institute for the Study of Religion and Liberty,2018,Latin America,"$152,166",
2,Alliance Defending Freedom,2018,Latin America,"$112,800",
3,American Center for Law and Justice,2018,Latin America,$0,
4,"American Society for the Defense of Tradition, Family, Property",2018,Latin America,"$212,108",
5,Bethany Christian Services,2018,Latin America,,No Schedule F
6,Billy Graham Evangelistic Association,2018,Latin America,,No 990
7,Capitol Ministries,2018,Latin America,"$83,366",
8,Cato Institute,2018,Latin America,"$65,946",
9,Exodus Cry,2018,Latin America,,No Schedule F
10,Family Research Council,2018,Latin America,,No 990
11,Family Watch International,2018,Latin America,$0,
12,Federalist Society,2018,Latin America,,No 990
13,Fellowship Foundation,2018,Latin America,"$256,400",
14,Focus on the Family,2018,Latin America,"$380,000",
15,Heartbeat International,2018,Latin America,,No 990
16,Home School Legal Defense Association,2018,Latin America,,No 990
17,Human Life International,2018,Latin America,"$74,310",
18,International House of Prayer,2018,Latin America,,No 990
19,International Human Rights Group,2018,Latin America,"$5,000",
20,InterVarsity Christian Fellowship,2018,Latin America,,No 990
21,Leadership Institute,2018,Latin America,"$13,348",
22,Liberty Counsel,2018,Latin America,,No Schedule F
23,LifeSiteNews,2018,Latin America,$0,
24,Population Research Institute,2018,Latin America,,No 990
25,Religious Freedom Institute,2018,Latin America,$0,
26,Summit Ministries,2018,Latin America,,No 990
27,The Heritage Foundation,2018,Latin America,"$20,831",
28,World Youth Alliance,2018,Latin America,"$60,378",
1,Acton Institute for the Study of Religion and Liberty,2018,Middle East & North Africa,$0,
2,Alliance Defending Freedom,2018,Middle East & North Africa,"$25,000",
3,American Center for Law and Justice,2018,Middle East & North Africa,$0,
4,"American Society for the Defense of Tradition, Family, Property",2018,Middle East & North Africa,$0,
5,Bethany Christian Services,2018,Middle East & North Africa,,No Schedule F
6,Billy Graham Evangelistic Association,2018,Middle East & North Africa,,No 990
7,Capitol Ministries,2018,Middle East & North Africa,$0,
8,Cato Institute,2018,Middle East & North Africa,$500,
9,Exodus Cry,2018,Middle East & North Africa,,No Schedule F
10,Family Research Council,2018,Middle East & North Africa,,No 990
11,Family Watch International,2018,Middle East & North Africa,$0,
12,Federalist Society,2018,Middle East & North Africa,,No 990
13,Fellowship Foundation,2018,Middle East & North Africa,"$49,248",
14,Focus on the Family,2018,Middle East & North Africa,"$160,000",
15,Heartbeat International,2018,Middle East & North Africa,,No 990
16,Home School Legal Defense Association,2018,Middle East & North Africa,,No 990
17,Human Life International,2018,Middle East & North Africa,$0,
18,International House of Prayer,2018,Middle East & North Africa,,No 990
19,International Human Rights Group,2018,Middle East & North Africa,$0,
20,InterVarsity Christian Fellowship,2018,Middle East & North Africa,,No 990
21,Leadership Institute,2018,Middle East & North Africa,"$13,349",
22,Liberty Counsel,2018,Middle East & North Africa,,No Schedule F
23,LifeSiteNews,2018,Middle East & North Africa,$0,
24,Population Research Institute,2018,Middle East & North Africa,,No 990
25,Religious Freedom Institute,2018,Middle East & North Africa,$0,
26,Summit Ministries,2018,Middle East & North Africa,,No 990
27,The Heritage Foundation,2018,Middle East & North Africa,"$15,282",
28,World Youth Alliance,2018,Middle East & North Africa,"$32,474",
1,Acton Institute for the Study of Religion and Liberty,2018,North America (outside the US),$0,
2,Alliance Defending Freedom,2018,North America (outside the US),207016,
3,American Center for Law and Justice,2018,North America (outside the US),$0,
4,"American Society for the Defense of Tradition, Family, Property",2018,North America (outside the US),$0,
5,Bethany Christian Services,2018,North America (outside the US),,No Schedule F
6,Billy Graham Evangelistic Association,2018,North America (outside the US),,No 990
7,Capitol Ministries,2018,North America (outside the US),"$3,920",
8,Cato Institute,2018,North America (outside the US),20550,
9,Exodus Cry,2018,North America (outside the US),,No Schedule F
10,Family Research Council,2018,North America (outside the US),,No 990
11,Family Watch International,2018,North America (outside the US),$0,
12,Federalist Society,2018,North America (outside the US),,No 990
13,Fellowship Foundation,2018,North America (outside the US),"$11,870",
14,Focus on the Family,2018,North America (outside the US),$0,
15,Heartbeat International,2018,North America (outside the US),,No 990
16,Home School Legal Defense Association,2018,North America (outside the US),,No 990
17,Human Life International,2018,North America (outside the US),"$6,000",
18,International House of Prayer,2018,North America (outside the US),,No 990
19,International Human Rights Group,2018,North America (outside the US),$0,
20,InterVarsity Christian Fellowship,2018,North America (outside the US),,No 990
21,Leadership Institute,2018,North America (outside the US),13349,
22,Liberty Counsel,2018,North America (outside the US),,No Schedule F
23,LifeSiteNews,2018,North America (outside the US),"$100,000",
24,Population Research Institute,2018,North America (outside the US),,No 990
25,Religious Freedom Institute,2018,North America (outside the US),"$62,792",
26,Summit Ministries,2018,North America (outside the US),,No 990
27,The Heritage Foundation,2018,North America (outside the US),5123,
28,World Youth Alliance,2018,North America (outside the US),$0,
1,Acton Institute for the Study of Religion and Liberty,2017,Africa,$0,
2,Alliance Defending Freedom,2017,Africa,$0,
3,American Center for Law and Justice,2017,Africa,$0,
4,"American Society for the Defense of Tradition, Family, Property",2017,Africa,$0,
5,Bethany Christian Services,2017,Africa,"$376,533",
6,Billy Graham Evangelistic Association,2017,Africa,,No 990
7,Capitol Ministries,2017,Africa,$0,
8,Cato Institute,2017,Africa,$0,
9,Exodus Cry,2017,Africa,$0,
10,Family Research Council,2017,Africa,$0,
11,Family Watch International,2017,Africa,"$32,677",
12,Federalist Society,2017,Africa,$0,
13,Fellowship Foundation,2017,Africa,"$3,936,211",
14,Focus on the Family,2017,Africa,"$44,827",
15,Heartbeat International,2017,Africa,"$52,021",
16,Home School Legal Defense Association,2017,Africa,$0,
17,Human Life International,2017,Africa,"$255,323",
18,International House of Prayer,2017,Africa,,No 990
19,International Human Rights Group,2017,Africa,$0,
20,InterVarsity Christian Fellowship,2017,Africa,"$104,133",
21,Leadership Institute,2017,Africa,$0,
22,Liberty Counsel,2017,Africa,,No Schedule F
23,LifeSiteNews,2017,Africa,,No Schedule F
24,Population Research Institute,2017,Africa,$0,
25,Religious Freedom Institute,2017,Africa,$0,
26,Summit Ministries,2017,Africa,,No Schedule F
27,The Heritage Foundation,2017,Africa,$98,
28,World Youth Alliance,2017,Africa,"$49,009",
1,Acton Institute for the Study of Religion and Liberty,2017,Asia,"$1,500",
2,Alliance Defending Freedom,2017,Asia,"$301,867",
3,American Center for Law and Justice,2017,Asia,$0,
4,"American Society for the Defense of Tradition, Family, Property",2017,Asia,$0,
5,Bethany Christian Services,2017,Asia,"$22,540",
6,Billy Graham Evangelistic Association,2017,Asia,,No 990
7,Capitol Ministries,2017,Asia,"$1,197",
8,Cato Institute,2017,Asia,2500,
9,Exodus Cry,2017,Asia,$0,
10,Family Research Council,2017,Asia,$0,
11,Family Watch International,2017,Asia,$0,
12,Federalist Society,2017,Asia,$0,
13,Fellowship Foundation,2017,Asia,"$512,832",
14,Focus on the Family,2017,Asia,"$203,389",
15,Heartbeat International,2017,Asia,"$13,939",
16,Home School Legal Defense Association,2017,Asia,$0,
17,Human Life International,2017,Asia,"$124,679",
18,International House of Prayer,2017,Asia,,No 990
19,International Human Rights Group,2017,Asia,$0,
20,InterVarsity Christian Fellowship,2017,Asia,"$355,832",
21,Leadership Institute,2017,Asia,2981,
22,Liberty Counsel,2017,Asia,,No Schedule F
23,LifeSiteNews,2017,Asia,,No Schedule F
24,Population Research Institute,2017,Asia,$0,
25,Religious Freedom Institute,2017,Asia,"$179,024",
26,Summit Ministries,2017,Asia,,No Schedule F
27,The Heritage Foundation,2017,Asia,"$76,208",
28,World Youth Alliance,2017,Asia,"$39,568",
1,Acton Institute for the Study of Religion and Liberty,2017,Eurasia/Russia,$0,
2,Alliance Defending Freedom,2017,Eurasia/Russia,$0,
3,American Center for Law and Justice,2017,Eurasia/Russia,"$303,867",
4,"American Society for the Defense of Tradition, Family, Property",2017,Eurasia/Russia,$0,
5,Bethany Christian Services,2017,Eurasia/Russia,$0,
6,Billy Graham Evangelistic Association,2017,Eurasia/Russia,,No 990
7,Capitol Ministries,2017,Eurasia/Russia,"$28,562",
8,Cato Institute,2017,Eurasia/Russia,$0,
9,Exodus Cry,2017,Eurasia/Russia,$184,
10,Family Research Council,2017,Eurasia/Russia,$0,
11,Family Watch International,2017,Eurasia/Russia,$0,
12,Federalist Society,2017,Eurasia/Russia,$0,
13,Fellowship Foundation,2017,Eurasia/Russia,"$6,850",
14,Focus on the Family,2017,Eurasia/Russia,$0,
15,Heartbeat International,2017,Eurasia/Russia,$474,
16,Home School Legal Defense Association,2017,Eurasia/Russia,$0,
17,Human Life International,2017,Eurasia/Russia,"$9,450",
18,International House of Prayer,2017,Eurasia/Russia,,No 990
19,International Human Rights Group,2017,Eurasia/Russia,$0,
20,InterVarsity Christian Fellowship,2017,Eurasia/Russia,"$246,335",
21,Leadership Institute,2017,Eurasia/Russia,$0,
22,Liberty Counsel,2017,Eurasia/Russia,,No Schedule F
23,LifeSiteNews,2017,Eurasia/Russia,,No Schedule F
24,Population Research Institute,2017,Eurasia/Russia,$0,
25,Religious Freedom Institute,2017,Eurasia/Russia,$0,
26,Summit Ministries,2017,Eurasia/Russia,,No Schedule F
27,The Heritage Foundation,2017,Eurasia/Russia,"$18,674",
28,World Youth Alliance,2017,Eurasia/Russia,$0,
1,Acton Institute for the Study of Religion and Liberty,2017,Europe,"$237,431",
2,Alliance Defending Freedom,2017,Europe,"$2,702,554",
3,American Center for Law and Justice,2017,Europe,"$1,180,753",
4,"American Society for the Defense of Tradition, Family, Property",2017,Europe,"$17,072",
5,Bethany Christian Services,2017,Europe,"$31,295",
6,Billy Graham Evangelistic Association,2017,Europe,,No 990
7,Capitol Ministries,2017,Europe,$0,
8,Cato Institute,2017,Europe,"$156,300",
9,Exodus Cry,2017,Europe,$0,
10,Family Research Council,2017,Europe,$0,
11,Family Watch International,2017,Europe,"$23,468",
12,Federalist Society,2017,Europe,"$565,387",
13,Fellowship Foundation ,2017,Europe,"$22,000",
14,Focus on the Family,2017,Europe,$0,
15,Heartbeat International,2017,Europe,"$54,924",
16,Home School Legal Defense Association,2017,Europe,"$9,655",
17,Human Life International,2017,Europe,"$142,692",
18,International House of Prayer,2017,Europe,,No 990
19,International Human Rights Group,2017,Europe,"$107,104",
20,InterVarsity Christian Fellowship,2017,Europe,"$755,150",
21,Leadership Institute,2017,Europe,"$95,775",
22,Liberty Counsel,2017,Europe,,No Schedule F
23,LifeSiteNews,2017,Europe,,No Schedule F
24,Population Research Institute,2017,Europe,$0,
25,Religious Freedom Institute,2017,Europe,$0,
26,Summit Ministries,2017,Europe,,No Schedule F
27,The Heritage Foundation,2017,Europe,"$145,179",
28,World Youth Alliance,2017,Europe,"$59,531",
1,Acton Institute for the Study of Religion and Liberty,2017,Latin America,"$62,400",
2,Alliance Defending Freedom,2017,Latin America,"$121,146",
3,American Center for Law and Justice,2017,Latin America,$0,
4,"American Society for the Defense of Tradition, Family, Property",2017,Latin America,"$419,148",
5,Bethany Christian Services,2017,Latin America,"$96,933",
6,Billy Graham Evangelistic Association,2017,Latin America,,No 990
7,Capitol Ministries,2017,Latin America,"$45,896",
8,Cato Institute,2017,Latin America,"$66,678",
9,Exodus Cry,2017,Latin America,$0,
10,Family Research Council,2017,Latin America,$0,
11,Family Watch International,2017,Latin America,"$1,849",
